timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1688610180000.0,945,1688610180000.0,0.0,-0.00993888,999.99006112,999.93206112,58.0,0.8568,58.0,0.8568,long_ientry_normal,49.6944,0.049694893911587205,
1688624940000.0,1191,1688624940000.0,0.06400000000000006,-0.00138368,1000.0526774399999,1000.5226774399999,-8.0,0.8648,50.0,0.8568,long_nclose,42.84,0.0428377434173414,246.0
1688625180000.0,1195,1688625180000.0,0.05600000000000005,-0.0012107200000000002,1000.1074667199999,1000.3869667199999,-7.0,0.8648,43.0,0.8568,long_nclose,36.8424,0.03683844109356576,4.0
1688626080000.0,1210,1688626080000.0,0.04800000000000004,-0.0010377600000000002,1000.1544289599999,1000.4615289599999,-6.0,0.8648,37.0,0.8568,long_nclose,31.7016,0.03169670511079432,15.0
1688626620000.0,1219,1688626620000.0,0.040000000000000036,-0.0008648,1000.1935641599998,1000.4751641599998,-5.0,0.8648,32.0,0.8568,long_nclose,27.4176,0.02741229396234551,9.0
1688626800000.0,1222,1688626800000.0,0.03200000000000003,-0.00069184,1000.2248723199999,1000.4460723199999,-4.0,0.8648,28.0,0.8568,long_nclose,23.9904,0.023985006435957534,3.0
1688626860000.0,1223,1688626860000.0,0.03200000000000003,-0.00069184,1000.25618048,1000.49618048,-4.0,0.8648,24.0,0.8568,long_nclose,20.563200000000002,0.020557933458738735,1.0
1688627640000.0,1236,1688627640000.0,0.06320000000000014,-0.0006980800000000001,1000.3186824000001,1000.6106824000001,-4.0,0.8726,20.0,0.8568,long_nclose,17.136,0.017130540798145147,13.0
1688628780000.0,1255,1688628780000.0,0.016000000000000014,-0.00034592,1000.33433648,1000.51973648,-2.0,0.8648,18.0,0.8568,long_nclose,15.4224,0.01541724545242414,19.0
1688629380000.0,1265,1688629380000.0,0.016000000000000014,-0.00034592,1000.34999056,1000.46999056,-2.0,0.8648,16.0,0.8568,long_nclose,13.7088,0.013704003728060974,10.0
1688629440000.0,1266,1688629440000.0,0.016000000000000014,-0.00034592,1000.36564464,1000.47764464,-2.0,0.8648,14.0,0.8568,long_nclose,11.9952,0.01199081562253839,1.0
1688629500000.0,1267,1688629500000.0,0.016000000000000014,-0.00034592,1000.38129872,1000.46049872,-2.0,0.8648,12.0,0.8568,long_nclose,10.281600000000001,0.01027768113333929,1.0
1688629560000.0,1268,1688629560000.0,0.008000000000000007,-0.00017296,1000.3891257600001,1000.4991257600001,-1.0,0.8648,11.0,0.8568,long_nclose,9.4248,0.009421133994074493,1.0
1688629860000.0,1273,1688629860000.0,0.0,-0.00804922,1000.3810765400001,1000.63077654,47.0,0.8563,58.0,0.8563948275862068,long_ientry_partial,49.670899999999996,0.04965197879571637,5.0
